,,,,Reduced vulnerability (20 percent),,,25% of losses insured,,,
,Avoided loss only,Investment response - no risk aversion or full insurance,Investment response - risk aversion,Investment response - no risk aversion or full insurance,Investment response - risk aversion,Avoided loss only,Investment response - no risk aversion or full insurance,Investment response - risk aversion,Avoided loss only,
0,1.061804132,1.123605848,1.163665081,1.123605848,1.163665081,1.061804132,1.123605848,1.163665081,1.061804132,
0.01,1.055623719,1.098790719,1.118909424,1.111583218,1.13965129,1.056859801,1.108885179,1.140272403,1.055623719,
0.02,1.049443305,1.087691823,1.099508094,1.100355105,1.123426838,1.051915471,1.094788332,1.122166912,1.049443305,
0.03,1.043262892,1.076592927,1.083087477,1.089314339,1.10930104,1.04697114,1.081271659,1.10609779,1.043262892,
0.04,1.037082479,1.06549403,1.068458689,1.078634405,1.096501588,1.04202681,1.068295702,1.09139624,1.037082479,
0.05,1.030902066,1.054395134,1.055101379,1.068295702,1.084673808,1.037082479,1.055824691,1.077735066,1.030902066,
0.06,1.024721653,1.043296238,1.04272337,1.058280103,1.073611727,1.032138149,1.043826106,1.064916143,1.024721653,
0.07,1.01854124,1.032197342,1.031137797,1.048570807,1.063180238,1.027193818,1.032270308,1.052805299,1.01854124,
0.08,1.012360826,1.021130218,1.020215037,1.039152223,1.053283669,1.022249487,1.021130218,1.041305052,1.012360826,
0.09,1.006180413,1.010381035,1.009860001,1.030009858,1.043850651,1.017305157,1.010381035,1.03034109,1.006180413,
0.1,1,1,1,1.021130218,1.034825869,1.012360826,1,1.019854717,1,
0.11,0.993819587,0.989966179,0.990577744,1.012500719,1.026165172,1.007416496,0.989966179,1.009798315,0.993819587,
0.12,0.987639174,0.980260281,0.981546937,1.004109615,1.017832505,1.002472165,0.980260281,1.000132415,0.987639174,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
alpha = 10; // productivity ,,,,,,,,,,
mu = 0.3; // decreasing returns on capital,,,,,,,,,,
eta = 1.5 // elasticity of marginal utility,,,,,,,,,,
r=0.08 // interest rate 8%,,,,,,,,,,
